Designator,Footprint,Quantity,Value,LCSC Part #
"0.96"" OLED",OLED-TH_L27.8-W27.2-P2.54_C9900033791,1,"0.96"" OLED",C5248080
"100K_2, 100K",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100k,
BATTERY,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
BUZZER,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,12,SK6812MINI-E,
DOWN,SW_PUSH_6mm_H4.3mm,1,DOWN,
LEFT,SW_PUSH_6mm_H4.3mm,1,LEFT,
RIGHT,SW_PUSH_6mm_H4.3mm,1,RIGHT,
UP,SW_PUSH_6mm_H4.3mm,1,UP,
XIAO-ESP32-C3,XIAO-ESP32-C3-DIP-SMD,1,XIAO-ESP32-C3-SMD,
