Designator,Mid X,Mid Y,Rotation,Layer
"0.96"" OLED",130.39,-84.9125,0.0,top
100K_2,153.6,-65.01,90.0,top
100K,153.6,-77.0,90.0,top
BATTERY,153.8,-86.095,0.0,top
BUZZER,129.329216,-85.4,0.0,top
D1,120.305,-101.22,180.0,bottom
D10,114.55,-75.03,270.0,bottom
D11,114.55,-85.45,270.0,bottom
D12,114.52,-95.46,270.0,bottom
D2,130.48,-97.59,180.0,bottom
D3,140.47,-101.26,180.0,bottom
D4,146.21,-95.42,90.0,bottom
D5,146.15,-85.28,90.0,bottom
D6,146.17,-74.85,90.0,bottom
D7,140.31,-69.05,0.0,bottom
D8,130.83,-69.04,0.0,bottom
D9,120.41,-69.04,0.0,bottom
DOWN,129.9,-123.0,0.0,top
H1_2,103.9,-118.6,0.0,top
H1,113.9,-53.6,0.0,top
H2_2,145.9,-53.6,0.0,top
H2,155.9,-118.6,0.0,top
LEFT,115.6,-117.2,0.0,top
RIGHT,143.2,-117.2,0.0,top
UP,129.95,-108.45,0.0,top
XIAO-ESP32-C3,167.24,-81.32,180.0,bottom
